customer_id,company_name,segment,industry,created_at,status,country
1,Account 0001,Mid-Market,Logistics,2025-11-18,active,GB
2,Account 0002,SMB,Media,2025-06-08,active,JP
3,Account 0003,Mid-Market,Healthcare,2025-05-20,active,US
4,Account 0004,Mid-Market,Logistics,2025-07-15,active,US
5,Account 0005,SMB,Retail,2025-12-29,active,BR
6,Account 0006,Enterprise,Logistics,2025-05-28,active,DE
7,Account 0007,Mid-Market,Logistics,2026-07-09,prospect,GB
8,Account 0008,Mid-Market,Healthcare,2025-10-19,active,US
9,Account 0009,SMB,Media,2026-06-09,churned,US
10,Account 0010,SMB,Healthcare,2026-02-19,active,GB
11,Account 0011,SMB,Fintech,2025-07-22,active,US
12,Account 0012,Enterprise,Media,2025-05-19,active,US
13,Account 0013,Mid-Market,Fintech,2026-03-28,active,DE
14,Account 0014,Mid-Market,Fintech,2025-07-20,prospect,GB
15,Account 0015,SMB,Healthcare,2025-05-30,active,BR
16,Account 0016,SMB,Logistics,2026-07-19,active,US
17,Account 0017,SMB,Fintech,2025-10-20,active,US
18,Account 0018,SMB,Healthcare,2025-01-30,churned,JP
19,Account 0019,Mid-Market,Retail,2025-10-28,active,US
20,Account 0020,Mid-Market,Retail,2025-10-07,active,US
21,Account 0021,Mid-Market,Retail,2026-06-09,churned,US
22,Account 0022,SMB,Retail,2026-03-08,churned,DE
23,Account 0023,Enterprise,Logistics,2025-04-27,prospect,BR
24,Account 0024,Mid-Market,Logistics,2025-04-02,active,GB
25,Account 0025,Mid-Market,Logistics,2026-01-02,active,GB
26,Account 0026,SMB,Retail,2025-01-29,active,US
27,Account 0027,SMB,Retail,2025-07-13,prospect,US
28,Account 0028,SMB,Fintech,2025-03-25,active,US
29,Account 0029,SMB,Healthcare,2025-01-13,churned,US
30,Account 0030,Mid-Market,Fintech,2026-07-12,active,US
31,Account 0031,Mid-Market,Healthcare,2025-02-24,active,US
32,Account 0032,Enterprise,Retail,2025-01-06,churned,US
33,Account 0033,SMB,Media,2026-07-21,active,DE
34,Account 0034,SMB,Fintech,2025-04-25,prospect,GB
35,Account 0035,SMB,Retail,2026-05-11,active,US
36,Account 0036,SMB,Media,2025-01-19,active,US
37,Account 0037,SMB,Logistics,2025-04-04,active,GB
38,Account 0038,SMB,Retail,2025-03-09,active,GB
39,Account 0039,SMB,Healthcare,2026-03-05,active,BR
40,Account 0040,Mid-Market,Logistics,2026-01-12,active,US
41,Account 0041,SMB,Media,2025-10-16,active,BR
42,Account 0042,Mid-Market,Logistics,2025-05-27,active,US
43,Account 0043,Mid-Market,Healthcare,2025-02-23,active,US
44,Account 0044,SMB,Fintech,2025-12-12,active,US
45,Account 0045,Mid-Market,Media,2025-05-21,active,US
46,Account 0046,Mid-Market,Retail,2025-12-25,active,US
47,Account 0047,SMB,Fintech,2026-02-22,active,US
48,Account 0048,SMB,Media,2026-05-31,churned,GB
49,Account 0049,Mid-Market,Media,2025-10-27,churned,US
50,Account 0050,SMB,Retail,2025-01-03,active,US
51,Account 0051,SMB,Healthcare,2025-06-20,active,US
52,Account 0052,SMB,Fintech,2026-06-02,active,US
53,Account 0053,Mid-Market,Healthcare,2025-11-20,active,US
54,Account 0054,Mid-Market,Logistics,2026-01-11,active,US
55,Account 0055,Mid-Market,Retail,2025-10-05,active,US
56,Account 0056,Mid-Market,Logistics,2025-04-09,active,GB
57,Account 0057,SMB,Healthcare,2026-06-29,prospect,JP
58,Account 0058,SMB,Media,2026-04-15,active,US
59,Account 0059,SMB,Healthcare,2026-08-28,active,DE
60,Account 0060,SMB,Fintech,2026-06-04,churned,BR
61,Account 0061,Mid-Market,Media,2025-06-26,prospect,JP
62,Account 0062,SMB,Media,2025-06-04,active,DE
63,Account 0063,SMB,Retail,2025-05-31,active,BR
64,Account 0064,Mid-Market,Media,2026-07-12,active,JP
65,Account 0065,Mid-Market,Media,2025-12-05,active,GB
66,Account 0066,SMB,Fintech,2025-10-03,prospect,US
67,Account 0067,SMB,Logistics,2026-08-11,active,US
68,Account 0068,SMB,Media,2026-01-02,active,US
69,Account 0069,SMB,Fintech,2026-07-07,active,US
70,Account 0070,SMB,Retail,2026-08-21,active,US
71,Account 0071,SMB,Media,2025-02-18,churned,US
72,Account 0072,SMB,Fintech,2025-08-08,active,DE
73,Account 0073,Mid-Market,Media,2026-03-22,active,DE
74,Account 0074,SMB,Healthcare,2026-05-09,prospect,BR
75,Account 0075,SMB,Healthcare,2025-04-01,churned,US
76,Account 0076,SMB,Retail,2025-07-13,active,US
77,Account 0077,SMB,Media,2025-11-29,active,GB
78,Account 0078,Mid-Market,Retail,2026-05-01,active,BR
79,Account 0079,SMB,Healthcare,2025-03-10,active,JP
80,Account 0080,Mid-Market,Logistics,2025-12-31,active,BR
81,Account 0081,Mid-Market,Logistics,2025-06-29,active,BR
82,Account 0082,SMB,Logistics,2025-05-12,prospect,US
83,Account 0083,Mid-Market,Logistics,2025-11-09,prospect,US
84,Account 0084,SMB,Healthcare,2025-09-09,churned,US
85,Account 0085,SMB,Fintech,2026-01-21,prospect,DE
86,Account 0086,SMB,Logistics,2025-07-12,churned,JP
87,Account 0087,Mid-Market,Logistics,2026-05-15,churned,US
88,Account 0088,SMB,Logistics,2025-02-17,churned,DE
89,Account 0089,SMB,Media,2026-06-08,active,US
90,Account 0090,SMB,Retail,2025-01-19,active,US
91,Account 0091,SMB,Healthcare,2026-03-23,active,US
92,Account 0092,Mid-Market,Healthcare,2025-07-30,active,US
93,Account 0093,SMB,Logistics,2025-08-21,active,JP
94,Account 0094,SMB,Fintech,2025-01-12,active,US
95,Account 0095,SMB,Fintech,2026-03-03,active,BR
96,Account 0096,Mid-Market,Retail,2025-04-11,active,GB
97,Account 0097,SMB,Logistics,2026-02-05,active,US
98,Account 0098,SMB,Media,2026-03-17,churned,US
99,Account 0099,SMB,Retail,2026-05-29,churned,BR
100,Account 0100,Enterprise,Healthcare,2026-03-06,active,US
101,Account 0101,Enterprise,Healthcare,2025-07-03,active,JP
102,Account 0102,Mid-Market,Healthcare,2026-03-25,active,US
103,Account 0103,SMB,Logistics,2026-05-17,churned,GB
