order_id,customer_id,user_id,created_at,status,gross_amount,discount_amount,tax_amount,shipping_amount,total_amount,net_amount,currency,completed_at
1,276,48,2026-05-04,completed,102.43,0.0,8.19,8.99,119.61,102.43,USD,2026-05-04 09:00:00
2,399,763,2026-06-13,completed,100.16,0.0,8.01,13.87,122.04,100.16,USD,2026-06-13 05:00:00
3,171,433,2026-01-11,cancelled,54.46,13.44,3.28,13.03,57.33,41.02,USD,2026-01-12 23:00:00
4,56,321,2025-09-09,completed,145.14,9.46,10.85,3.92,150.45,135.68,USD,2025-09-09 19:00:00
5,294,486,2025-12-22,completed,344.23,19.96,25.94,13.27,363.48,324.27,USD,2025-12-24 19:00:00
6,392,57,2025-06-28,completed,202.78,0.0,16.22,4.5,223.5,202.78,USD,2025-06-28 07:00:00
7,8,661,2025-03-24,completed,153.55,26.47,10.17,6.61,143.86,127.08,USD,2025-03-25 08:00:00
8,407,146,2025-09-01,completed,272.35,0.0,21.79,12.77,306.91,272.35,USD,2025-09-02 23:00:00
9,402,207,2025-04-13,completed,338.69,32.9,24.46,4.86,335.11,305.79,USD,2025-04-14 01:00:00
10,289,447,2025-02-27,refunded,285.57,0.0,22.85,4.36,312.78,0.0,USD,2025-03-01 03:00:00
11,475,532,2026-03-30,pending,29.15,6.49,1.81,10.03,34.5,22.66,USD,2026-04-01 12:00:00
12,194,12,2026-05-24,completed,273.9,0.0,21.91,15.0,310.81,273.9,USD,2026-05-25 22:00:00
13,67,465,2026-03-31,refunded,225.44,0.0,18.04,1.97,245.45,0.0,USD,2026-04-01 19:00:00
14,329,126,2026-07-10,completed,87.04,2.45,6.77,10.52,101.88,84.59,USD,2026-07-11 17:00:00
15,305,764,2025-10-22,completed,226.08,0.0,18.09,7.9,252.07,226.08,USD,2025-10-24 23:00:00
16,458,300,2026-02-15,completed,344.67,0.0,27.57,6.16,378.4,344.67,USD,2026-02-17 08:00:00
17,113,393,2025-05-04,refunded,105.98,9.73,7.7,11.25,115.2,0.0,USD,2025-05-04 04:00:00
18,79,500,2025-09-27,completed,299.04,0.0,23.92,8.32,331.28,299.04,USD,2025-09-29 07:00:00
19,340,126,2025-03-03,completed,205.87,12.59,15.46,11.97,220.71,193.28,USD,2025-03-03 11:00:00
20,156,133,2026-01-08,completed,6.05,0.53,0.44,11.16,17.12,5.52,USD,2026-01-10 14:00:00
21,93,768,2025-09-22,refunded,161.82,0.25,12.93,14.78,189.28,0.0,USD,2025-09-22 23:00:00
22,336,460,2025-12-01,completed,200.25,0.0,16.02,12.16,228.43,200.25,USD,2025-12-03 01:00:00
23,93,182,2026-06-03,completed,131.48,3.92,10.2,1.0,138.76,127.56,USD,2026-06-05 05:00:00
24,417,531,2025-02-01,completed,211.19,0.0,16.9,11.69,239.78,211.19,USD,2025-02-02 01:00:00
25,156,715,2025-09-28,completed,149.53,0.0,11.96,9.75,171.24,149.53,USD,2025-09-30 21:00:00
26,327,611,2025-08-28,completed,621.93,108.27,41.09,1.35,556.1,513.66,USD,2025-08-29 13:00:00
27,289,321,2026-03-26,completed,124.63,29.02,7.65,9.08,112.34,95.61,USD,2026-03-27 06:00:00
28,296,529,2026-02-03,cancelled,89.09,0.0,7.13,11.26,107.48,89.09,USD,2026-02-04 11:00:00
29,153,717,2026-03-14,completed,289.15,0.0,23.13,2.96,315.24,289.15,USD,2026-03-14 22:00:00
30,43,201,2026-05-30,completed,136.87,33.86,8.24,6.52,117.77,103.01,USD,2026-05-30 07:00:00
31,320,633,2025-06-30,completed,155.44,0.0,12.44,8.14,176.02,155.44,USD,2025-07-02 22:00:00
32,217,798,2025-08-06,completed,145.93,17.08,10.31,6.2,145.36,128.85,USD,2025-08-08 10:00:00
33,489,277,2025-07-30,completed,278.68,0.0,22.29,13.14,314.11,278.68,USD,2025-08-01 10:00:00
34,446,711,2026-05-13,completed,69.09,0.0,5.53,2.53,77.15,69.09,USD,2026-05-15 17:00:00
35,38,18,2025-10-10,completed,298.64,71.78,18.15,11.57,256.58,226.86,USD,2025-10-11 20:00:00
36,181,299,2026-04-05,pending,238.1,46.35,15.34,11.67,218.76,191.75,USD,2026-04-07 22:00:00
37,208,222,2025-05-29,completed,496.94,0.0,39.76,6.72,543.42,496.94,USD,2025-05-31 22:00:00
38,191,24,2026-07-19,completed,189.54,28.94,12.85,8.09,181.54,160.6,USD,2026-07-19 17:00:00
39,362,483,2025-10-21,cancelled,73.52,0.0,5.88,2.3,81.7,73.52,USD,2025-10-22 07:00:00
40,179,423,2026-08-24,completed,191.01,0.0,15.28,2.93,209.22,191.01,USD,2026-08-24 06:00:00
41,77,304,2025-09-29,completed,207.81,0.0,16.62,7.97,232.4,207.81,USD,2025-10-01 02:00:00
42,182,693,2025-01-26,pending,364.14,0.0,29.13,3.37,396.64,364.14,USD,2025-01-26 07:00:00
43,394,199,2025-06-09,completed,73.36,2.66,5.66,12.1,88.46,70.7,USD,2025-06-11 06:00:00
44,203,658,2025-09-23,completed,42.91,0.0,3.43,9.24,55.58,42.91,USD,2025-09-25 09:00:00
45,143,509,2025-03-22,completed,193.81,0.0,15.5,0.85,210.16,193.81,USD,2025-03-23 05:00:00
46,387,719,2026-04-15,pending,510.66,0.0,40.85,5.37,556.88,510.66,USD,2026-04-16 21:00:00
47,33,6,2025-07-31,completed,261.92,1.68,20.82,12.88,293.94,260.24,USD,2025-08-02 20:00:00
48,228,776,2026-05-15,refunded,272.15,38.53,18.69,4.16,256.47,0.0,USD,2026-05-17 06:00:00
49,52,2,2026-08-09,completed,53.15,0.0,4.25,10.8,68.2,53.15,USD,2026-08-10 07:00:00
50,304,571,2025-02-20,completed,171.91,0.0,13.75,1.41,187.07,171.91,USD,2025-02-22 17:00:00
51,450,603,2025-06-19,cancelled,368.61,28.06,27.24,13.96,381.75,340.55,USD,2025-06-19 02:00:00
52,222,130,2026-01-04,pending,209.53,0.0,16.76,6.74,233.03,209.53,USD,2026-01-04 16:00:00
53,491,29,2026-06-10,completed,40.08,5.93,2.73,7.37,44.25,34.15,USD,2026-06-10 23:00:00
54,437,30,2026-06-30,completed,169.47,40.72,10.3,8.55,147.6,128.75,USD,2026-07-01 02:00:00
55,364,104,2025-04-28,completed,249.77,21.86,18.23,5.45,251.59,227.91,USD,2025-04-30 00:00:00
56,90,122,2025-05-18,completed,156.44,0.0,12.52,10.88,179.84,156.44,USD,2025-05-20 09:00:00
57,17,774,2025-05-01,completed,81.31,0.0,6.5,0.22,88.03,81.31,USD,2025-05-01 03:00:00
58,62,161,2025-07-30,completed,295.01,0.0,23.6,2.43,321.04,295.01,USD,2025-07-30 18:00:00
59,175,645,2026-01-07,pending,120.86,0.0,9.67,2.83,133.36,120.86,USD,2026-01-09 10:00:00
60,204,50,2025-08-28,completed,223.43,0.0,17.87,9.53,250.83,223.43,USD,2025-08-29 12:00:00
61,106,524,2026-03-17,completed,166.24,27.47,11.1,13.36,163.23,138.77,USD,2026-03-17 22:00:00
62,488,363,2025-08-28,completed,117.36,0.0,9.39,0.95,127.7,117.36,USD,2025-08-29 07:00:00
63,372,433,2025-12-24,completed,547.2,0.0,43.78,12.79,603.77,547.2,USD,2025-12-25 19:00:00
64,350,628,2025-12-07,completed,107.35,0.0,8.59,12.29,128.23,107.35,USD,2025-12-08 18:00:00
