payment_id,order_id,customer_id,amount,fee_amount,status,paid_at,method
1,1,276,119.61,3.77,captured,2026-05-05 02:00:00,ach
2,2,399,122.04,3.84,captured,2026-06-13 18:00:00,wire
3,4,56,150.45,4.66,captured,2025-09-10 04:00:00,paypal
4,5,294,363.48,10.84,captured,2025-12-25 14:00:00,paypal
5,6,392,223.5,6.78,captured,2025-06-28 15:00:00,ach
6,7,8,71.93,2.39,captured,2025-03-25 12:00:00,ach
7,7,8,71.93,2.39,captured,2025-03-25 12:00:00,card
8,8,407,306.91,9.2,captured,2025-09-03 18:00:00,wire
9,9,402,335.11,10.02,captured,2025-04-14 01:00:00,wire
10,10,289,312.78,9.37,refunded,2025-03-02 02:00:00,wire
11,12,194,310.81,9.31,captured,2026-05-26 16:00:00,card
12,13,67,245.45,7.42,refunded,2026-04-02 15:00:00,ach
13,14,329,101.88,3.25,captured,2026-07-12 13:00:00,wire
14,15,305,126.03,3.95,captured,2025-10-25 22:00:00,card
15,15,305,126.04,3.96,captured,2025-10-25 04:00:00,ach
16,16,458,378.4,11.27,captured,2026-02-17 23:00:00,paypal
17,17,113,115.2,3.64,refunded,2025-05-04 22:00:00,ach
18,18,79,331.28,9.91,captured,2025-09-29 16:00:00,ach
19,19,340,220.71,6.7,captured,2025-03-04 10:00:00,ach
20,20,156,17.12,0.8,captured,2026-01-10 19:00:00,card
21,21,93,94.64,3.04,captured,2025-09-23 09:00:00,card
22,21,93,94.64,3.04,refunded,2025-09-23 08:00:00,wire
23,22,336,228.43,6.92,captured,2025-12-03 15:00:00,wire
24,23,93,138.76,4.32,captured,2026-06-05 10:00:00,ach
25,24,417,239.78,7.25,captured,2025-02-02 18:00:00,card
26,25,156,171.24,5.27,captured,2025-10-01 14:00:00,wire
27,26,327,556.1,16.43,captured,2025-08-29 23:00:00,paypal
28,27,289,112.34,3.56,captured,2026-03-27 08:00:00,paypal
29,29,153,315.24,9.44,captured,2026-03-15 18:00:00,wire
30,30,43,117.77,3.72,captured,2026-05-30 20:00:00,wire
31,31,320,176.02,5.4,captured,2025-07-03 13:00:00,paypal
32,32,217,145.36,4.52,captured,2025-08-08 12:00:00,wire
33,33,489,314.11,9.41,captured,2025-08-01 19:00:00,ach
34,34,446,77.15,2.54,captured,2026-05-15 20:00:00,wire
35,35,38,256.58,7.74,captured,2025-10-11 21:00:00,paypal
36,37,208,543.42,16.06,captured,2025-06-01 17:00:00,paypal
37,38,191,90.77,2.93,captured,2026-07-20 08:00:00,wire
38,38,191,90.77,2.93,captured,2026-07-20 13:00:00,paypal
39,40,179,209.22,6.37,captured,2026-08-25 02:00:00,wire
40,41,77,232.4,7.04,captured,2025-10-01 15:00:00,ach
41,43,394,88.46,2.87,captured,2025-06-11 13:00:00,card
42,44,203,27.79,1.11,captured,2025-09-25 18:00:00,paypal
43,44,203,27.79,1.11,captured,2025-09-26 02:00:00,card
44,45,143,210.16,6.39,captured,2025-03-24 03:00:00,ach
45,47,33,146.97,4.56,captured,2025-08-03 17:00:00,card
46,47,33,146.97,4.56,captured,2025-08-03 13:00:00,card
47,48,228,256.47,7.74,refunded,2026-05-17 14:00:00,wire
48,49,52,68.2,2.28,captured,2026-08-10 14:00:00,ach
49,50,304,187.07,5.73,captured,2025-02-23 03:00:00,paypal
50,53,491,44.25,1.58,captured,2026-06-11 08:00:00,wire
51,54,437,147.6,4.58,captured,2026-07-01 10:00:00,card
52,55,364,251.59,7.6,captured,2025-04-30 00:00:00,ach
53,56,90,179.84,5.52,captured,2025-05-21 06:00:00,ach
54,57,17,88.03,2.85,captured,2025-05-02 01:00:00,card
55,58,62,321.04,9.61,captured,2025-07-31 00:00:00,card
56,60,204,250.83,7.57,captured,2025-08-29 16:00:00,ach
57,61,106,163.23,5.03,captured,2026-03-18 15:00:00,wire
58,62,488,63.85,2.15,captured,2025-08-29 16:00:00,paypal
59,62,488,63.85,2.15,captured,2025-08-29 09:00:00,paypal
60,63,372,603.77,17.81,captured,2025-12-26 15:00:00,ach
61,64,350,128.23,4.02,captured,2025-12-09 11:00:00,wire
62,65,326,191.66,5.86,captured,2025-06-06 03:00:00,card
63,66,309,181.29,5.56,captured,2025-02-08 23:00:00,paypal
64,67,441,210.91,6.42,captured,2025-05-17 21:00:00,wire
65,68,196,455.0,13.5,captured,2026-04-19 02:00:00,card
66,70,148,133.36,4.17,captured,2025-03-17 16:00:00,card
67,71,115,411.32,12.23,captured,2025-08-24 06:00:00,wire
68,72,479,312.75,9.37,captured,2026-05-12 17:00:00,card
69,73,284,66.06,2.22,captured,2026-05-07 03:00:00,card
70,73,284,66.05,2.22,captured,2026-05-07 02:00:00,card
71,74,214,359.77,10.73,refunded,2025-01-12 05:00:00,ach
72,75,13,59.71,2.03,captured,2026-04-26 14:00:00,ach
73,76,356,77.15,2.54,refunded,2026-04-25 07:00:00,ach
74,77,324,48.5,1.71,captured,2025-03-13 23:00:00,wire
75,79,66,406.87,12.1,captured,2025-02-02 22:00:00,ach
76,80,329,171.07,5.26,captured,2026-02-03 23:00:00,ach
77,81,181,57.79,1.98,captured,2026-06-08 05:00:00,wire
