session_id,user_id,started_at,duration_seconds,events_count,converted
1,333,2025-09-22,2161,49,False
2,51,2025-04-03,4687,190,False
3,204,2026-05-27,5384,15,False
4,259,2025-07-10,5118,49,False
5,18,2025-08-01,4630,111,False
6,410,2025-04-16,2511,66,False
7,41,2025-08-15,4103,118,False
8,750,2025-04-22,4181,176,False
9,32,2025-01-29,3534,91,False
10,143,2026-02-28,1173,84,False
11,417,2025-08-17,1362,62,False
12,23,2026-03-04,4025,66,False
13,499,2025-05-16,94,115,False
14,302,2025-11-18,145,14,False
15,16,2025-05-08,3704,29,False
16,487,2025-06-03,2275,157,False
17,60,2026-08-12,4926,88,False
18,487,2025-11-18,4162,147,False
19,533,2025-01-04,1380,170,False
20,277,2026-07-30,1998,55,False
21,486,2026-05-15,1413,76,False
22,31,2025-08-21,584,122,False
23,697,2025-05-27,1624,139,False
24,736,2025-09-15,5244,12,False
25,136,2026-04-15,5373,113,False
26,402,2025-10-28,1635,47,False
27,333,2025-04-16,2828,91,False
28,622,2025-04-19,256,162,False
29,172,2026-08-26,987,32,False
30,318,2025-05-29,2221,189,False
31,299,2025-12-18,2400,68,False
32,666,2026-02-24,3772,154,False
33,415,2025-04-04,1877,37,False
34,628,2025-04-09,2090,144,False
35,61,2025-07-09,4131,168,False
36,77,2026-01-02,4866,133,False
37,757,2026-05-29,3568,186,False
38,42,2025-08-23,1174,15,False
39,536,2025-06-23,2404,183,False
40,120,2025-07-05,3137,111,False
41,414,2026-04-15,1486,50,False
42,659,2025-11-30,604,135,False
43,380,2026-01-12,4546,98,False
44,216,2025-05-17,664,152,False
45,132,2026-01-25,650,146,False
46,317,2025-07-07,1078,142,False
47,756,2026-06-22,31,168,False
48,463,2025-11-15,1198,66,False
49,372,2025-04-05,610,46,False
50,522,2026-02-03,3571,116,False
51,425,2025-01-17,4835,47,False
52,342,2026-05-23,4586,161,False
53,133,2025-09-04,3091,182,False
54,360,2026-05-16,4677,99,False
55,217,2026-07-25,2182,158,False
56,263,2025-10-30,3403,83,False
57,243,2025-03-09,1785,175,False
58,76,2025-02-15,2214,18,False
59,417,2025-07-13,664,196,False
60,119,2025-04-25,1451,109,True
61,327,2026-03-10,524,191,False
62,712,2025-01-01,1604,141,False
63,676,2026-03-10,3768,146,False
64,780,2025-04-23,2461,71,False
65,120,2025-03-18,4700,133,False
66,661,2025-01-19,3407,150,False
67,652,2026-05-05,5303,147,False
68,245,2026-03-10,3011,198,False
69,292,2026-06-29,3624,12,False
70,143,2025-11-28,4119,42,False
71,774,2025-12-28,1023,86,False
72,408,2025-01-22,719,124,False
73,231,2025-01-14,2504,118,False
74,76,2026-01-10,636,67,False
75,401,2025-11-07,5201,27,False
76,732,2026-05-10,5350,49,True
77,306,2025-12-01,1047,156,False
78,615,2025-01-18,1726,112,False
79,271,2026-01-27,1241,3,False
80,779,2025-03-19,5246,77,False
81,509,2026-06-23,4388,80,False
82,685,2025-10-14,1584,124,False
83,481,2025-09-26,4018,162,True
84,328,2025-01-26,377,132,False
85,38,2025-07-05,837,198,False
86,252,2025-01-13,2755,83,False
87,182,2025-03-08,1740,164,False
88,668,2025-12-20,1089,3,False
89,454,2025-10-22,2794,61,False
90,471,2025-12-08,4860,182,False
91,781,2026-05-05,2821,11,False
92,703,2026-05-05,2352,192,False
93,538,2026-06-20,643,103,False
94,261,2025-02-17,2398,55,False
95,87,2025-02-15,4598,5,False
96,438,2026-06-29,2122,172,False
97,791,2026-06-13,4630,35,False
98,370,2025-01-12,626,182,False
99,786,2025-01-19,3395,198,False
100,147,2025-07-02,3376,44,False
101,50,2025-11-30,1570,140,False
102,433,2025-01-30,860,97,False
103,300,2025-09-30,3787,115,False
104,67,2025-05-29,3465,16,False
105,755,2026-07-13,2157,89,False
106,300,2026-05-10,2179,89,False
107,204,2025-11-14,4930,111,False
108,427,2025-03-17,4610,62,False
109,677,2025-06-10,2117,87,False
110,117,2025-05-03,2824,33,False
111,293,2026-06-06,2258,66,False
112,603,2026-01-07,4800,111,False
113,534,2025-07-28,2605,124,False
114,153,2025-01-14,165,26,False
115,22,2026-05-20,606,122,False
116,583,2026-01-01,3925,71,False
117,168,2025-05-27,216,49,False
118,20,2026-06-27,3030,172,False
119,704,2026-04-04,2988,156,False
120,552,2025-02-12,937,136,False
121,364,2025-01-05,3583,84,False
122,321,2025-01-04,597,161,True
123,697,2025-06-14,4990,83,False
124,633,2025-09-04,3988,47,False
125,423,2026-07-19,903,96,False
126,450,2026-05-31,2046,112,False
127,430,2026-08-29,4843,124,False
128,305,2026-07-22,440,59,False
129,401,2025-01-03,1542,110,False
130,532,2026-05-02,3762,91,False
131,518,2026-07-15,2746,48,False
132,311,2026-01-30,1592,122,False
133,662,2026-08-08,903,62,False
134,285,2025-09-16,1641,76,False
135,591,2026-04-24,2474,192,False
136,341,2026-04-24,470,106,False
137,755,2025-05-18,3253,110,False
138,569,2026-04-05,2299,118,False
139,574,2025-10-16,1422,27,False
140,492,2025-04-22,4933,26,False
141,144,2025-03-07,4588,86,False
142,734,2026-03-11,4649,5,True
143,564,2026-05-09,5077,59,False
144,1,2026-04-27,1807,18,False
145,240,2026-08-12,1910,126,False
146,129,2026-07-01,1677,176,False
147,108,2025-04-23,1307,7,False
148,396,2026-03-19,4682,197,False
149,636,2025-05-15,1830,96,False
150,536,2026-03-21,4001,30,False
151,747,2025-09-19,5224,63,False
152,72,2026-07-02,1124,71,False
153,501,2025-03-17,1695,70,False
154,236,2025-04-28,4853,67,False
155,12,2026-01-12,2188,192,False
156,791,2025-11-30,4927,119,False
157,102,2026-06-06,3149,36,False
158,263,2026-06-27,1858,62,False
159,414,2025-06-08,2461,70,False
160,305,2026-01-19,4824,191,False
161,124,2026-04-06,263,174,False
162,192,2026-07-20,3593,37,False
163,546,2025-08-04,4596,141,False
164,14,2025-01-31,4732,96,False
165,49,2025-08-02,2960,45,False
166,229,2025-05-10,2099,44,False
167,781,2025-01-29,5310,131,False
168,129,2025-05-15,2168,80,False
169,523,2025-04-28,2141,3,False
170,305,2025-02-17,2730,40,True
171,409,2026-04-12,2635,1,False
172,186,2026-01-13,1445,18,False
173,737,2025-04-04,2165,36,False
174,324,2025-09-01,2915,180,False
175,36,2026-05-24,693,68,False
176,216,2025-05-28,2764,116,False
177,258,2025-05-24,3941,183,False
178,733,2026-03-18,1040,134,False
179,23,2025-08-30,1297,190,False
180,234,2026-02-15,4839,81,False
181,144,2025-04-28,4866,7,False
182,151,2025-01-24,591,32,False
183,789,2025-11-23,295,187,False
184,610,2025-09-24,4767,193,False
185,758,2026-05-29,5285,122,False
186,650,2026-03-14,2918,68,False
187,688,2025-07-24,4600,31,False
188,451,2025-03-04,2618,148,False
189,419,2025-11-26,1655,75,False
190,276,2026-04-28,4640,180,False
191,58,2025-07-03,2665,138,False
192,668,2026-01-09,2463,112,False
193,305,2025-01-20,3168,167,False
194,536,2026-03-12,1656,82,False
195,767,2026-05-23,1527,127,False
196,305,2025-06-01,878,52,False
197,111,2026-02-11,533,197,True
198,314,2026-03-30,3723,10,False
199,763,2025-05-25,2462,48,False
200,2,2025-04-16,4503,15,False
201,207,2025-08-22,3148,189,False
202,47,2026-06-07,2769,134,False
203,616,2025-08-12,5256,52,False
204,108,2025-05-06,1547,184,False
205,215,2025-06-23,4592,146,False
206,198,2025-06-12,5082,151,False
207,35,2025-11-20,3139,106,False
208,741,2026-02-12,3502,62,False
209,308,2025-06-16,4625,186,False
210,658,2025-07-22,2955,23,False
211,418,2025-10-24,2422,47,False
212,33,2025-07-07,4283,41,False
213,148,2025-10-03,4788,152,False
214,12,2025-02-07,1824,171,False
215,197,2025-08-19,2513,168,False
216,469,2026-05-13,3983,50,False
217,100,2025-09-23,3670,107,False
218,302,2025-10-06,1913,109,False
219,24,2026-01-01,3905,192,False
220,642,2025-08-27,1415,198,False
221,282,2025-09-13,755,64,False
222,779,2025-05-30,1279,199,True
223,262,2026-04-06,5266,178,False
224,396,2025-12-04,4774,43,False
225,400,2025-01-11,734,147,False
226,142,2025-12-06,4355,191,False
227,592,2025-08-07,2007,51,False
228,715,2025-01-02,1148,62,False
229,687,2025-11-05,1507,176,False
230,338,2025-02-21,406,166,False
231,614,2025-04-28,1133,163,False
232,334,2026-01-08,860,47,False
233,117,2025-11-09,893,52,False
234,564,2025-06-22,1681,8,False
235,326,2026-06-11,4897,145,False
236,296,2026-08-21,3304,160,False
237,60,2025-02-26,1023,163,False
238,188,2025-05-31,3603,91,False
239,333,2025-01-03,5039,17,False
240,594,2025-04-03,641,197,False
241,317,2025-08-10,1360,172,False
242,149,2025-01-28,2471,71,False
243,319,2026-07-12,805,145,False
244,32,2026-02-21,2827,73,False
245,369,2025-02-20,3357,170,False
246,399,2025-06-26,1421,113,False
247,563,2026-03-10,1393,199,False
248,28,2025-06-16,3949,159,False
249,506,2025-10-16,3000,130,False
250,633,2025-03-09,3226,5,False
251,648,2026-06-09,370,88,False
252,782,2025-02-01,3954,127,False
253,543,2025-02-28,3056,100,False
254,759,2025-05-20,3780,49,False
255,274,2025-08-10,1799,120,False
256,120,2025-08-29,4846,45,False
257,1,2026-02-24,93,191,False
