subscription_id,customer_id,plan,billing_period,amount,mrr_amount,status,started_at,cancelled_at,seats
1,371,starter,annual,529.2,44.1,active,2026-05-12,,10
2,424,scale,annual,5389.2,449.1,active,2025-12-01,,19
3,342,starter,annual,529.2,44.1,active,2025-06-27,,6
4,432,growth,monthly,199.0,199.0,active,2026-07-08,,47
5,33,growth,monthly,199.0,199.0,cancelled,2025-05-17,2025-11-10,40
6,388,starter,monthly,49.0,49.0,active,2025-03-12,,20
7,360,starter,monthly,49.0,49.0,active,2025-06-06,,25
8,410,starter,monthly,49.0,49.0,active,2025-07-07,,17
9,318,starter,monthly,49.0,49.0,active,2025-06-07,,1
10,110,enterprise,monthly,1500.0,1500.0,active,2025-02-05,,10
11,304,scale,monthly,499.0,499.0,active,2026-08-22,,3
12,359,scale,monthly,499.0,499.0,active,2025-07-17,,20
13,498,scale,monthly,499.0,499.0,past_due,2026-08-06,,21
14,375,starter,monthly,49.0,49.0,active,2026-02-26,,18
15,421,scale,monthly,499.0,499.0,active,2026-05-01,,34
16,390,growth,monthly,199.0,199.0,trialing,2025-07-13,,37
17,52,scale,monthly,499.0,499.0,active,2026-02-03,,28
18,398,enterprise,monthly,1500.0,1500.0,active,2025-08-30,,18
19,353,starter,monthly,49.0,49.0,cancelled,2025-08-09,2026-08-29,18
20,82,growth,monthly,199.0,199.0,active,2026-07-22,,23
21,94,starter,annual,529.2,44.1,active,2026-06-06,,36
22,129,scale,annual,5389.2,449.1,cancelled,2025-07-30,2026-08-02,16
23,294,starter,monthly,49.0,49.0,active,2025-01-03,,35
24,392,starter,monthly,49.0,49.0,active,2025-11-24,,16
25,441,scale,annual,5389.2,449.1,active,2026-08-06,,27
26,74,starter,annual,529.2,44.1,active,2026-07-21,,13
27,491,growth,monthly,199.0,199.0,past_due,2025-10-15,,5
28,62,growth,monthly,199.0,199.0,past_due,2025-11-05,,25
29,294,growth,annual,2149.2,179.1,past_due,2026-06-07,,35
30,489,starter,monthly,49.0,49.0,active,2025-04-14,,22
31,209,starter,monthly,49.0,49.0,trialing,2025-06-16,,39
32,484,growth,annual,2149.2,179.1,cancelled,2025-03-28,2025-08-20,3
33,317,growth,monthly,199.0,199.0,active,2025-12-24,,3
34,169,enterprise,annual,16200.0,1350.0,cancelled,2026-06-30,2027-07-19,46
35,438,scale,annual,5389.2,449.1,cancelled,2025-07-09,2026-03-09,28
36,5,growth,annual,2149.2,179.1,active,2026-06-22,,18
37,383,starter,monthly,49.0,49.0,active,2025-11-06,,32
38,200,enterprise,monthly,1500.0,1500.0,active,2025-06-02,,38
39,358,starter,monthly,49.0,49.0,active,2026-08-06,,44
40,13,enterprise,monthly,1500.0,1500.0,active,2026-01-14,,45
41,453,enterprise,monthly,1500.0,1500.0,active,2025-11-28,,18
42,72,enterprise,monthly,1500.0,1500.0,active,2025-04-12,,1
43,304,starter,monthly,49.0,49.0,cancelled,2025-12-02,2027-01-03,20
44,113,starter,annual,529.2,44.1,cancelled,2025-05-21,2025-07-08,7
45,462,growth,annual,2149.2,179.1,active,2025-09-13,,26
46,420,growth,monthly,199.0,199.0,active,2026-07-13,,10
47,419,starter,monthly,49.0,49.0,active,2026-08-28,,33
48,188,growth,monthly,199.0,199.0,active,2025-09-01,,44
49,91,growth,monthly,199.0,199.0,cancelled,2025-07-14,2026-03-14,10
50,5,starter,monthly,49.0,49.0,active,2025-05-07,,27
51,102,starter,monthly,49.0,49.0,past_due,2025-05-07,,47
52,319,growth,monthly,199.0,199.0,active,2025-11-15,,16
