remote_id,remote_brand_id,remote_created,remote_gateway_id,transaction_type,status,errordesc,psp,pp,paymentmethod,country,card_bin,source
27213,1011,1767226299,14,withdrawal,12,,,,,CA,,CY
22824,1052,1767228001,11,withdrawal,3,Insufficient funds,,,,CA,,CY
27847,1066,1767228739,14,withdrawal,3,Issuer unavailable,,PP-Fallback,wallet,GB,PL,CY
19999,1010,1767228871,4,api_sale,12,,,,,NL,,CY
2934,1018,1767230673,10,withdrawal,4,,LegacyPSP-A,PP-Fallback,,DE,,CY
22821,1018,1767230683,8,refund,4,,,PP-Fallback,,DE,,CY
20109,1009,1767232749,5,capture,3,Insufficient funds,,,,CA,MX,CY
15332,1064,1767235125,1,sale,2,,LegacyPSP-B,,,BR,,CY
2196,1067,1767235714,14,authorization,12,,LegacyPSP-A,,,CA,NL,CY
13931,1058,1767237170,11,withdrawal,12,,LegacyPSP-B,,,PL,GB,CY
25853,1078,1767238415,5,api_sale,2,,,,bank_transfer,ES,MX,CY
13504,1009,1767238820,1,refund,12,,,,,CA,FR,CY
9327,1010,1767239137,8,deposit,3,Transaction timed out. Old status pending_async. New status declined.,,,,NL,,CY
438,1009,1767239178,5,authorization,2,,,,,CA,NL,CY
20681,1009,1767239958,5,refund,12,,,,,CA,,CY
18229,1057,1767240010,11,capture,12,,LegacyPSP-A,PP-Fallback,,GB,,CY
15750,1018,1767241069,10,withdrawal,12,,,,,DE,,CY
27659,1067,1767241081,13,authorization,12,,,,,CA,,CY
21090,1066,1767241806,14,sale,12,,LegacyPSP-A,,,GB,FR,CY
10613,1046,1767243643,12,deposit,2,,LegacyPSP-B,,,NL,GB,CY
16008,1052,1767243840,11,withdrawal,12,,,,,CA,,CY
3168,1004,1767243851,10,payout,3,Issuer unavailable,LegacyPSP-B,PP-Fallback,,MX,GB,CY
24565,1062,1767244286,7,withdrawal,3,Do not honor,,PP-Fallback,,PL,BR,CY
28695,1043,1767245246,5,refund,3,Issuer unavailable,,PP-Fallback,,BR,,CY
23888,1073,1767245778,9,withdrawal,12,,,,,ES,,CY
11025,1052,1767246362,3,authorization,4,,,PP-Fallback,,CA,,CY
20391,1059,1767248261,12,refund,4,,LegacyPSP-B,,,US,,CY
12922,1052,1767249232,6,sale,3,Transaction timed out. Old status pending. New status declined.,,,,CA,US,CY
10060,1004,1767249593,10,authorization,4,,LegacyPSP-B,,,MX,DE,CY
18344,1039,1767249734,1,payout,2,,,,,CA,US,CY
6847,1039,1767250330,1,withdrawal,3,Suspected fraud,,,,CA,NL,CY
8061,1075,1767250891,6,capture,2,,LegacyPSP-B,,card,FR,MX,CY
27677,1070,1767251698,9,authorization,2,,,,,FR,PL,CY
14672,1059,1767253383,9,payout,7,,,,,US,DE,CY
15804,1070,1767253439,3,api_sale,4,,LegacyPSP-B,,,FR,DE,CY
20974,1007,1767254713,11,sale,12,,LegacyPSP-B,PP-Fallback,card,DE,NL,CY
10276,1004,1767255172,8,payout,2,,LegacyPSP-B,,,MX,,CY
8822,1011,1767255615,14,withdrawal,4,,LegacyPSP-A,PP-Fallback,,CA,DE,CY
6874,1029,1767256108,5,payout,3,Insufficient funds,,,,MX,PL,CY
7821,1073,1767256262,9,sale,2,,,,card,ES,,CY
24861,1044,1767257600,6,withdrawal,7,,,PP-Fallback,,US,GB,CY
10791,1017,1767257607,6,deposit,2,,,,,BR,ES,CY
