Order ID,Order Date,Order Time,Customer ID,Membership Status,Restaurant Name,Cuisine Type,City,Order Status,Items Count,Subtotal,Base Delivery Fee,JET+ Delivery Fees Funded,JET+ Logistics Delivery Fee Share,Service Fee,Tip Amount,Order Total,Payment Method,Delivery Time (min),Driver ID,Customer Rating,Promo Code Used
ORD-100000,2025-01-01,06:26,CUST-1051,Non-Member,Lucky Panda Wok,Chinese,Beaverton,Cancelled by Customer,2,71.27,6.9,0.0,5.07,7.84,17.11,103.12,Google Pay,,DRV-282,,FREEDEL
ORD-100001,2025-01-01,19:59,CUST-1117,Non-Member,El Pollo Feliz,Mexican,Portland,Delivered,1,24.45,7.54,0.0,5.24,2.69,2.12,36.8,Apple Pay,51,DRV-215,5,NEWUSER
ORD-100002,2025-01-01,23:37,CUST-1105,Non-Member,Wok This Way,Asian Fusion,Tigard,Delivered,3,26.48,6.29,0.0,4.65,2.91,3.81,39.49,Debit Card,67,DRV-282,4,SUMMER26
ORD-100003,2025-01-02,01:09,CUST-1131,Non-Member,Wok This Way,Asian Fusion,Tigard,Delivered,3,80.92,2.27,0.0,1.68,8.9,14.91,107.0,Debit Card,74,DRV-202,3,
ORD-100004,2025-01-03,06:40,CUST-1073,Non-Member,Taj Spice Kitchen,Indian,Beaverton,Delivered,6,35.41,5.91,0.0,4.24,3.9,3.85,49.07,Gift Card,31,DRV-272,3,SUMMER26
ORD-100005,2025-01-06,01:24,CUST-1040,Non-Member,Mama Rosa's Pizzeria,Italian,Tigard,Delivered,7,69.15,7.64,0.0,4.24,7.61,10.4,94.8,Gift Card,61,DRV-228,2,FREEDEL
ORD-100006,2025-01-06,23:39,CUST-1383,JET+ Member,Bao Down,Chinese,Gresham,Delivered,2,12.89,5.78,5.78,4.62,1.42,0.95,15.26,Google Pay,28,DRV-237,5,
ORD-100007,2025-01-07,15:44,CUST-1232,Non-Member,Curry Corner,Indian,Lake Oswego,Delivered,3,49.5,5.32,0.0,3.26,5.45,7.45,67.72,Credit Card,19,DRV-264,5,FREEDEL
ORD-100008,2025-01-07,18:34,CUST-1051,JET+ Member,Olive & Vine,Mediterranean,Portland,Delivered,5,74.54,3.72,3.72,2.7,8.2,0.14,82.88,PayPal,38,DRV-278,1,
ORD-100009,2025-01-08,13:06,CUST-1218,Non-Member,Lucky Panda Wok,Chinese,Tigard,Delivered,6,52.94,5.02,0.0,3.56,5.82,5.4,69.18,Google Pay,60,DRV-233,3,SAVE10
ORD-100010,2025-01-09,05:18,CUST-1287,JET+ Member,Slice of Napoli,Italian,Beaverton,Refunded,4,70.27,5.4,5.4,3.16,7.73,9.91,87.91,Credit Card,,DRV-231,,
ORD-100011,2025-01-09,22:18,CUST-1007,JET+ Member,Pitmaster's Porch,BBQ,Hillsboro,Delivered,7,22.05,2.02,2.02,1.21,2.43,1.3,25.78,Gift Card,63,DRV-220,4,FREEDEL
ORD-100012,2025-01-10,15:30,CUST-1028,Non-Member,Sunrise Skillet,Breakfast,Hillsboro,Delivered,1,13.33,2.14,0.0,1.45,1.47,2.7,19.64,Apple Pay,25,DRV-212,5,FREEDEL
ORD-100013,2025-01-10,22:43,CUST-1064,JET+ Member,Trattoria Bella,Italian,Gresham,Delivered,3,56.05,3.46,3.46,1.94,6.17,3.13,65.35,Apple Pay,43,DRV-208,2,
ORD-100014,2025-01-11,11:27,CUST-1359,JET+ Member,Bao Down,Chinese,Hillsboro,Delivered,7,64.98,2.75,2.75,1.99,7.15,7.87,80.0,Apple Pay,70,DRV-280,4,
ORD-100015,2025-01-12,14:32,CUST-1314,JET+ Member,Wok This Way,Asian Fusion,Tigard,Delivered,7,43.61,4.62,4.62,2.82,4.8,2.28,50.69,PayPal,51,DRV-223,4,
ORD-100016,2025-01-13,03:18,CUST-1155,JET+ Member,Wok This Way,Asian Fusion,Gresham,Cancelled by Customer,6,23.75,3.64,3.64,2.8,2.61,2.82,29.18,Gift Card,,DRV-221,,NEWUSER
ORD-100017,2025-01-13,08:12,CUST-1320,Non-Member,Stars & Stripes Diner,American,Gresham,Delivered,6,39.84,7.24,0.0,5.77,4.38,8.71,60.17,Gift Card,27,DRV-254,2,
ORD-100018,2025-01-13,08:15,CUST-1267,Non-Member,Thai Basil Kitchen,Thai,Portland,Delivered,1,31.17,6.26,0.0,3.52,3.43,4.38,45.24,PayPal,40,DRV-279,3,
ORD-100019,2025-01-14,07:31,CUST-1104,JET+ Member,La Taqueria,Mexican,Portland,Delivered,7,49.39,3.54,3.54,2.53,5.43,1.47,56.29,PayPal,71,DRV-225,4,SUMMER26
ORD-100020,2025-01-18,05:08,CUST-1033,Non-Member,Thai Basil Kitchen,Thai,Gresham,Delivered,2,22.7,4.58,0.0,2.84,2.5,0.67,30.45,Apple Pay,47,DRV-294,5,FREEDEL
