id,order_id,product_id,quantity,unit_price,discount_pct,created_at
1,1,116,1,61.84,0.0,2025-06-16 13:26:00
2,2,18,1,186.27,0.0,2024-03-29 12:18:00
3,3,36,1,70.95,0.0,2024-11-23 16:15:00
4,3,23,1,307.17,0.0,2024-11-23 16:15:00
5,4,93,1,130.27,0.0,2025-01-31 03:08:00
6,5,111,2,75.81,5.0,2025-02-25 09:54:00
7,6,39,2,187.44,0.0,2024-10-16 23:08:00
8,7,53,2,43.07,5.0,2024-02-26 07:36:00
9,7,86,1,292.16,0.0,2024-02-26 07:36:00
10,7,12,1,118.89,0.0,2024-02-26 07:36:00
11,8,108,1,100.18,0.0,2024-09-18 09:38:00
12,8,15,1,7.91,0.0,2024-09-18 09:38:00
13,8,65,3,135.3,0.0,2024-09-18 09:38:00
14,9,107,1,108.67,0.0,2024-04-03 09:50:00
15,9,100,3,300.7,5.0,2024-04-03 09:50:00
16,10,114,1,312.07,10.0,2024-05-12 14:19:00
17,11,99,2,396.99,5.0,2024-07-01 10:28:00
18,11,43,2,155.5,15.0,2024-07-01 10:28:00
19,12,104,2,266.36,10.0,2024-10-16 02:34:00
20,12,31,3,116.15,0.0,2024-10-16 02:34:00
21,13,14,1,83.96,0.0,2024-12-25 16:32:00
22,14,57,1,74.83,10.0,2025-01-30 14:18:00
23,14,111,1,75.81,10.0,2025-01-30 14:18:00
24,14,63,1,169.24,15.0,2025-01-30 14:18:00
25,14,90,3,224.17,5.0,2025-01-30 14:18:00
26,15,55,1,84.93,0.0,2024-07-28 13:11:00
27,16,36,2,70.95,10.0,2024-09-20 12:21:00
28,17,47,1,384.95,10.0,2025-05-08 17:33:00
29,17,48,2,281.38,0.0,2025-05-08 17:33:00
30,17,3,1,151.33,10.0,2025-05-08 17:33:00
31,18,5,2,56.32,0.0,2025-06-24 20:30:00
32,18,85,2,116.09,10.0,2025-06-24 20:30:00
33,18,7,1,269.58,0.0,2025-06-24 20:30:00
34,19,31,1,116.15,10.0,2024-06-12 19:14:00
35,19,50,1,312.61,0.0,2024-06-12 19:14:00
36,20,47,3,384.95,0.0,2024-07-10 09:29:00
37,20,88,1,366.82,0.0,2024-07-10 09:29:00
38,20,111,1,75.81,0.0,2024-07-10 09:29:00
39,20,57,1,74.83,0.0,2024-07-10 09:29:00
40,21,51,3,288.17,15.0,2024-02-04 01:52:00
41,21,118,1,57.07,0.0,2024-02-04 01:52:00
42,21,12,3,118.89,10.0,2024-02-04 01:52:00
43,22,39,1,187.44,0.0,2025-05-28 01:16:00
44,22,114,1,312.07,0.0,2025-05-28 01:16:00
45,23,41,2,65.16,5.0,2024-10-24 04:43:00
46,24,53,2,43.07,0.0,2024-07-10 21:00:00
47,24,36,2,70.95,0.0,2024-07-10 21:00:00
48,25,63,1,169.24,5.0,2025-03-06 20:24:00
49,25,53,3,43.07,5.0,2025-03-06 20:24:00
50,25,43,2,155.5,0.0,2025-03-06 20:24:00
51,26,105,1,152.59,15.0,2024-08-15 05:36:00
52,26,21,1,269.02,0.0,2024-08-15 05:36:00
53,26,65,1,135.3,0.0,2024-08-15 05:36:00
54,27,94,2,119.91,0.0,2024-11-06 08:30:00
55,28,59,1,289.19,0.0,2025-08-07 10:46:00
56,28,98,1,176.86,0.0,2025-08-07 10:46:00
57,29,81,1,331.39,5.0,2025-04-15 16:08:00
58,29,83,1,223.84,0.0,2025-04-15 16:08:00
59,30,81,1,331.39,0.0,2025-03-06 22:38:00
60,31,15,1,7.91,0.0,2025-02-15 05:45:00
61,31,67,2,237.12,0.0,2025-02-15 05:45:00
62,32,84,2,270.53,0.0,2024-11-16 17:09:00
63,32,109,1,53.49,10.0,2024-11-16 17:09:00
64,33,41,1,65.16,0.0,2025-07-15 23:57:00
65,34,18,1,186.27,0.0,2024-12-05 19:59:00
66,34,88,1,366.82,0.0,2024-12-05 19:59:00
67,34,42,2,181.23,0.0,2024-12-05 19:59:00
68,35,54,1,185.03,0.0,2024-11-02 10:50:00
69,36,49,3,110.02,15.0,2024-08-27 20:45:00
70,37,29,1,342.09,0.0,2024-10-19 11:55:00
71,37,3,3,151.33,0.0,2024-10-19 11:55:00
72,37,83,1,223.84,0.0,2024-10-19 11:55:00
73,38,12,3,118.89,0.0,2024-04-01 05:54:00
74,39,90,2,224.17,0.0,2025-01-20 05:11:00
75,40,80,1,13.54,0.0,2024-06-27 23:35:00
76,41,12,3,118.89,10.0,2024-01-09 02:16:00
77,42,73,1,314.18,0.0,2024-05-28 20:38:00
78,43,56,2,233.79,0.0,2024-09-05 16:47:00
79,43,119,1,272.68,0.0,2024-09-05 16:47:00
80,44,16,1,267.62,5.0,2025-04-10 17:21:00
81,44,27,1,177.5,0.0,2025-04-10 17:21:00
82,45,101,1,356.86,0.0,2025-06-21 08:55:00
83,45,96,1,374.74,5.0,2025-06-21 08:55:00
84,45,17,1,283.54,0.0,2025-06-21 08:55:00
85,46,28,3,166.37,10.0,2025-05-30 12:46:00
86,47,87,1,308.62,0.0,2024-08-13 12:25:00
87,48,102,1,209.95,0.0,2025-07-08 02:51:00
88,49,34,1,267.4,15.0,2024-12-21 11:50:00
89,50,32,1,266.46,0.0,2024-11-20 00:23:00
90,51,59,1,289.19,0.0,2025-01-18 15:23:00
