id,customer_id,status,shipping_cost,created_at
1,343,completed,14.99,2025-06-16 13:26:00
2,327,completed,4.99,2024-03-29 12:18:00
3,27,completed,14.99,2024-11-23 16:15:00
4,212,processing,4.99,2025-01-31 03:08:00
5,368,returned,0.0,2025-02-25 09:54:00
6,52,completed,0.0,2024-10-16 23:08:00
7,3,completed,4.99,2024-02-26 07:36:00
8,209,returned,4.99,2024-09-18 09:38:00
9,245,completed,4.99,2024-04-03 09:50:00
10,388,shipped,0.0,2024-05-12 14:19:00
11,165,shipped,0.0,2024-07-01 10:28:00
12,331,completed,4.99,2024-10-16 02:34:00
13,465,completed,4.99,2024-12-25 16:32:00
14,334,completed,9.99,2025-01-30 14:18:00
15,274,completed,4.99,2024-07-28 13:11:00
16,468,completed,4.99,2024-09-20 12:21:00
17,214,completed,14.99,2025-05-08 17:33:00
18,479,completed,4.99,2025-06-24 20:30:00
19,429,cancelled,9.99,2024-06-12 19:14:00
20,404,returned,0.0,2024-07-10 09:29:00
21,96,shipped,0.0,2024-02-04 01:52:00
22,449,completed,4.99,2025-05-28 01:16:00
23,5,shipped,9.99,2024-10-24 04:43:00
24,291,completed,9.99,2024-07-10 21:00:00
25,476,processing,0.0,2025-03-06 20:24:00
26,146,returned,0.0,2024-08-15 05:36:00
27,329,returned,14.99,2024-11-06 08:30:00
28,456,completed,4.99,2025-08-07 10:46:00
29,436,returned,4.99,2025-04-15 16:08:00
30,140,completed,0.0,2025-03-06 22:38:00
31,415,completed,0.0,2025-02-15 05:45:00
32,170,completed,9.99,2024-11-16 17:09:00
33,375,returned,9.99,2025-07-15 23:57:00
34,332,shipped,0.0,2024-12-05 19:59:00
35,368,completed,0.0,2024-11-02 10:50:00
36,8,processing,4.99,2024-08-27 20:45:00
37,405,shipped,0.0,2024-10-19 11:55:00
38,291,completed,0.0,2024-04-01 05:54:00
39,90,cancelled,4.99,2025-01-20 05:11:00
40,424,cancelled,4.99,2024-06-27 23:35:00
41,264,processing,9.99,2024-01-09 02:16:00
42,45,cancelled,4.99,2024-05-28 20:38:00
43,343,completed,0.0,2024-09-05 16:47:00
44,95,completed,4.99,2025-04-10 17:21:00
45,245,processing,4.99,2025-06-21 08:55:00
46,480,completed,9.99,2025-05-30 12:46:00
47,4,shipped,4.99,2024-08-13 12:25:00
48,197,completed,4.99,2025-07-08 02:51:00
49,229,shipped,0.0,2024-12-21 11:50:00
50,489,processing,14.99,2024-11-20 00:23:00
51,155,completed,4.99,2025-01-18 15:23:00
52,134,processing,0.0,2024-04-18 07:11:00
53,355,completed,4.99,2025-01-05 22:41:00
54,32,completed,0.0,2024-09-30 03:35:00
55,239,shipped,4.99,2024-09-10 06:10:00
56,82,cancelled,4.99,2025-03-04 17:58:00
57,352,shipped,14.99,2025-06-20 11:59:00
58,354,completed,14.99,2025-04-09 12:43:00
59,328,shipped,0.0,2025-01-15 18:27:00
60,189,completed,4.99,2025-06-12 12:43:00
61,113,completed,14.99,2025-01-31 13:57:00
62,245,completed,0.0,2025-02-03 02:59:00
63,233,processing,4.99,2025-05-16 17:58:00
64,213,returned,0.0,2025-04-02 00:07:00
65,388,completed,14.99,2024-11-05 18:57:00
66,391,completed,14.99,2024-10-25 20:27:00
67,349,completed,0.0,2024-05-27 09:04:00
68,270,returned,9.99,2025-04-29 05:33:00
69,271,processing,0.0,2024-06-11 22:26:00
70,40,completed,0.0,2025-05-16 01:22:00
71,32,completed,9.99,2024-08-13 02:55:00
72,294,completed,9.99,2025-02-15 15:46:00
73,85,processing,0.0,2025-03-27 17:23:00
74,438,returned,4.99,2025-05-03 21:14:00
75,60,completed,4.99,2024-05-22 20:26:00
76,368,returned,0.0,2024-01-03 06:40:00
77,47,returned,4.99,2025-04-08 09:41:00
78,415,completed,9.99,2025-06-30 06:14:00
79,233,completed,0.0,2024-11-15 08:46:00
80,263,cancelled,4.99,2025-06-04 17:35:00
81,234,completed,0.0,2024-03-10 06:32:00
82,287,returned,4.99,2025-06-24 16:05:00
83,345,shipped,14.99,2024-10-01 17:25:00
84,371,completed,4.99,2025-05-07 15:17:00
85,203,shipped,14.99,2024-11-21 03:07:00
86,419,completed,4.99,2024-12-16 20:42:00
87,382,completed,4.99,2024-02-06 09:29:00
88,297,completed,4.99,2025-07-12 08:08:00
89,24,cancelled,0.0,2024-02-20 01:21:00
90,177,completed,4.99,2024-05-03 07:27:00
91,278,completed,14.99,2025-06-21 08:26:00
92,479,completed,4.99,2024-09-13 23:45:00
93,479,returned,0.0,2025-08-21 06:20:00
94,17,shipped,14.99,2025-07-01 13:19:00
95,210,completed,4.99,2024-07-05 12:59:00
96,394,completed,0.0,2025-03-28 14:39:00
97,393,cancelled,0.0,2025-06-05 05:17:00
98,192,cancelled,0.0,2024-07-15 08:52:00
99,230,cancelled,9.99,2024-02-06 13:15:00
100,193,completed,4.99,2025-04-28 15:26:00
101,350,completed,9.99,2025-08-02 23:35:00
