id,company,country,created_at
1,Acme Supply Co,UK,2021-03-02
2,Globex Industries,DE,2021-10-04
3,Initech Logistics,MX,2021-09-13
4,Umbrella Corp,JP,2021-05-10
5,Stark Distribution,US,2021-01-25
6,Wayne Trading,IN,2021-12-21
7,Hooli Wholesale,UK,2021-06-12
8,Vandelay Imports,UK,2021-11-22
9,Cyberdyne Group,US,2021-09-05
10,Wonka Partners,CN,2021-10-12
11,Tyrell Manufacturing,DE,2021-10-05
12,Aperture Labs,IN,2021-03-13
13,Dunder Mifflin,CN,2021-05-13
14,Sirius Cybernetics,UK,2021-06-20
15,Oscorp Materials,DE,2021-07-01
16,Massive Dynamics,US,2021-01-16
17,Soylent Foods,CN,2021-07-19
18,Gringotts Holdings,US,2021-02-26
19,Nakatomi Trading,UK,2021-09-29
20,Pied Piper Systems,CN,2021-09-07
