pickup_id,pickup_date,product,product_amount,unit,carrier,carrier_appointment_time,carrier_arrival_time,carrier_departure_time
PU-1001,2026-07-20,LED Light Bulbs 60W,220,cases,UPS,2026-07-20 07:00,2026-07-20 06:57,2026-07-20 07:43
PU-1002,2026-07-20,Paper Towels 12-Roll,10,pallets,Estes Express Lines,2026-07-20 08:30,2026-07-20 08:43,2026-07-20 09:21
PU-1003,2026-07-20,Garden Hoses 50ft,15,units,Schneider,2026-07-20 11:00,2026-07-20 11:10,2026-07-20 11:44
PU-1004,2026-07-20,Ceramic Floor Tile,10,pallets,XPO,2026-07-20 11:00,2026-07-20 13:16,2026-07-20 14:05
PU-1005,2026-07-20,Office Chairs,59,units,TForce Freight,2026-07-20 14:00,2026-07-20 14:05,2026-07-20 14:43
PU-1006,2026-07-20,Bottled Water 24-Pack,176,cases,ABF Freight,2026-07-20 14:30,2026-07-20 14:37,2026-07-20 15:30
PU-1007,2026-07-20,Ceramic Floor Tile,13,pallets,ABF Freight,2026-07-20 15:30,2026-07-20 15:38,2026-07-20 16:21
PU-1008,2026-07-20,Laundry Detergent 100oz,57,cases,ABF Freight,2026-07-20 16:30,2026-07-20 17:45,2026-07-20 18:30
PU-1009,2026-07-21,Paper Towels 12-Roll,19,pallets,ABF Freight,2026-07-21 06:00,2026-07-21 05:53,2026-07-21 07:15
PU-1010,2026-07-21,Breakfast Cereal 18oz,187,cases,Knight-Swift,2026-07-21 07:30,2026-07-21 07:10,2026-07-21 08:18
PU-1011,2026-07-21,Dog Food 30lb Bags,15,pallets,XPO,2026-07-21 08:00,2026-07-21 07:56,2026-07-21 09:08
PU-1012,2026-07-21,Dog Food 30lb Bags,8,pallets,FedEx Freight,2026-07-21 08:30,2026-07-21 08:58,2026-07-21 09:50
PU-1013,2026-07-21,Laundry Detergent 100oz,369,cases,ABF Freight,2026-07-21 13:30,2026-07-21 13:25,2026-07-21 15:10
PU-1014,2026-07-21,Microwave Ovens 1.1cu ft,52,units,FedEx Freight,2026-07-21 14:00,2026-07-21 13:56,2026-07-21 14:21
PU-1015,2026-07-21,Vinyl Gloves Box-100,285,cases,FedEx Freight,2026-07-21 14:30,2026-07-21 14:30,2026-07-21 15:43
PU-1016,2026-07-21,Paper Towels 12-Roll,12,pallets,Estes Express Lines,2026-07-21 15:30,2026-07-21 15:30,2026-07-21 16:02
PU-1017,2026-07-21,Office Chairs,44,units,XPO,2026-07-21 15:30,2026-07-21 16:37,2026-07-21 17:13
PU-1018,2026-07-21,Garden Hoses 50ft,93,units,UPS,2026-07-21 15:30,2026-07-21 15:38,2026-07-21 16:22
PU-1019,2026-07-21,LED Light Bulbs 60W,56,cases,FedEx Freight,2026-07-21 16:00,2026-07-21 15:40,2026-07-21 16:25
PU-1020,2026-07-21,Garden Hoses 50ft,68,units,Estes Express Lines,2026-07-21 16:00,2026-07-21 16:27,2026-07-21 17:16
PU-1021,2026-07-22,Copy Paper 8.5x11,13,pallets,Estes Express Lines,2026-07-22 06:30,2026-07-22 06:47,2026-07-22 07:35
PU-1022,2026-07-22,Canned Tomatoes 28oz,8,pallets,Averitt Express,2026-07-22 07:00,2026-07-22 06:44,2026-07-22 07:29
PU-1023,2026-07-22,Copy Paper 8.5x11,25,pallets,FedEx Freight,2026-07-22 07:00,2026-07-22 07:10,2026-07-22 09:10
PU-1024,2026-07-22,Paper Towels 12-Roll,12,pallets,UPS,2026-07-22 07:30,2026-07-22 07:05,2026-07-22 07:45
PU-1025,2026-07-22,Dog Food 30lb Bags,14,pallets,Dayton Freight,2026-07-22 09:30,2026-07-22 08:41,2026-07-22 09:46
PU-1026,2026-07-22,Dog Food 30lb Bags,4,pallets,ABF Freight,2026-07-22 11:00,2026-07-22 10:55,2026-07-22 11:40
PU-1027,2026-07-22,Dog Food 30lb Bags,19,pallets,Knight-Swift,2026-07-22 13:00,2026-07-22 13:11,2026-07-22 14:08
PU-1028,2026-07-22,Laundry Detergent 100oz,34,cases,Estes Express Lines,2026-07-22 13:30,2026-07-22 13:21,2026-07-22 13:48
PU-1029,2026-07-22,Dog Food 30lb Bags,6,pallets,UPS,2026-07-22 13:30,2026-07-22 13:29,2026-07-22 14:02
PU-1030,2026-07-22,Copy Paper 8.5x11,5,pallets,TForce Freight,2026-07-22 14:00,2026-07-22 13:45,2026-07-22 14:54
PU-1031,2026-07-22,Bottled Water 24-Pack,342,cases,Averitt Express,2026-07-22 15:00,2026-07-22 15:38,2026-07-22 16:59
PU-1032,2026-07-22,Paper Towels 12-Roll,9,pallets,J.B. Hunt,2026-07-22 15:30,2026-07-22 15:35,2026-07-22 16:30
PU-1033,2026-07-23,Copy Paper 8.5x11,20,pallets,Estes Express Lines,2026-07-23 06:00,2026-07-23 05:47,2026-07-23 07:01
PU-1034,2026-07-23,Canned Tomatoes 28oz,26,pallets,TForce Freight,2026-07-23 06:30,2026-07-23 06:34,2026-07-23 07:47
PU-1035,2026-07-23,Paper Towels 12-Roll,1,pallets,Knight-Swift,2026-07-23 07:30,2026-07-23 07:30,2026-07-23 07:55
PU-1036,2026-07-23,Microwave Ovens 1.1cu ft,28,units,Dayton Freight,2026-07-23 09:00,2026-07-23 08:45,2026-07-23 09:15
PU-1037,2026-07-23,Vinyl Gloves Box-100,390,cases,ABF Freight,2026-07-23 16:00,2026-07-23 16:06,2026-07-23 17:48
PU-1038,2026-07-23,HVAC Air Filters 20x20,372,cases,TForce Freight,2026-07-23 17:00,2026-07-23 17:02,2026-07-23 18:18
