record_id,description,created_time,updated_time,completed_time,value
1,Order processing,2026-08-03 07:45:00,2026-08-03 09:20:00,2026-08-03 11:05:00,87.4
2,Ticket review,2026-08-03 10:30:00,2026-08-03 13:15:00,2026-08-03 15:40:00,53.9
3,Report generation,2026-08-03 14:50:00,2026-08-03 16:25:00,2026-08-03 18:10:00,142.6
4,Order processing,2026-08-04 08:05:00,2026-08-04 10:40:00,2026-08-04 12:15:00,91.2
5,Ticket review,2026-08-04 11:20:00,2026-08-04 14:00:00,2026-08-04 16:35:00,48.7
6,Report generation,2026-08-04 15:10:00,2026-08-04 17:45:00,2026-08-04 19:30:00,136.0
7,Order processing,2026-08-05 07:55:00,2026-08-05 09:35:00,2026-08-05 11:50:00,84.8
8,Ticket review,2026-08-05 10:45:00,2026-08-05 12:30:00,2026-08-05 14:55:00,57.3
9,Report generation,2026-08-05 15:25:00,2026-08-05 16:50:00,2026-08-05 18:20:00,149.1
10,Order processing,2026-08-06 08:15:00,2026-08-06 10:05:00,2026-08-06 12:40:00,95.6
11,Ticket review,2026-08-06 11:35:00,2026-08-06 13:50:00,2026-08-06 16:10:00,51.4
12,Report generation,2026-08-06 14:55:00,2026-08-06 17:20:00,2026-08-06 19:05:00,128.9
13,Order processing,2026-08-07 07:50:00,2026-08-07 09:45:00,2026-08-07 11:30:00,89.0
14,Ticket review,2026-08-07 10:25:00,2026-08-07 12:55:00,2026-08-07 15:15:00,55.8
15,Report generation,2026-08-07 15:00:00,2026-08-07 16:40:00,2026-08-07 18:25:00,144.3
