event_id,description,start_time,end_time,value
1,Morning sync,2026-08-03 08:15:00,2026-08-03 08:45:00,42.7
2,Data backup,2026-08-03 12:30:00,2026-08-03 13:10:00,118.3
3,System check,2026-08-03 17:05:00,2026-08-03 17:35:00,76.5
4,Morning sync,2026-08-04 08:20:00,2026-08-04 08:50:00,39.2
5,Data backup,2026-08-04 11:45:00,2026-08-04 12:25:00,124.8
6,System check,2026-08-04 16:50:00,2026-08-04 17:20:00,81.0
7,Morning sync,2026-08-05 08:10:00,2026-08-05 08:40:00,45.6
8,Data backup,2026-08-05 13:00:00,2026-08-05 13:40:00,109.4
9,System check,2026-08-05 18:15:00,2026-08-05 18:45:00,72.9
10,Morning sync,2026-08-06 08:25:00,2026-08-06 08:55:00,41.1
11,Data backup,2026-08-06 12:05:00,2026-08-06 12:45:00,131.6
12,System check,2026-08-06 17:30:00,2026-08-06 18:00:00,78.3
13,Morning sync,2026-08-07 08:05:00,2026-08-07 08:35:00,44.0
14,Data backup,2026-08-07 12:40:00,2026-08-07 13:20:00,115.7
15,System check,2026-08-07 16:55:00,2026-08-07 17:25:00,80.2
